X,Y,objectid,id,pavadinimas,gatve,kryptis,atsakingas,savivaldybe,peronas,paviljonas,paviljono_piklausomybe,paviljono_tipas,suolas,siuksliu_deze,svieslente,transporto_balsas,GlobalID
579159.6875,6060106.5001,442,1601,Miškiniai,Laisvės pr.,iš centro,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,dingęs,dd1da4ba-2d7d-49f2-92b6-65393a236e82
579106.25,6060076.5001,443,1602,Miškiniai,Laisvės pr.,į centrą,SĮSP,Vilniaus miesto,yra,yra,JCDecaux, ,nėra,reikia perkelti,nėra,dingęs,8b34ee38-b2e4-46ec-974c-9d1b5e067b28
578844.6875,6060593.5001,444,1603,Litexpo,Laisvės pr.,iš centro,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,dingęs,16513ad9-4869-4408-b189-4ae967184603
578803.4375,6060610.5001,445,1604,Litexpo,Laisvės pr.,į centrą,SĮSP,Vilniaus miesto,yra,yra,JCDecaux, ,nėra,yra,yra (epaper),nėra,2d3690ba-4d59-42cf-8fee-c164cb78f96f
578478.4583,6060994.3272,446,1605,Ąžuolo st.,Architektų g.,į centrą,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,nėra,0e74aad3-948b-4d80-9d2e-3c2707edf234
578524.0625,6061070.0001,447,1606,Ąžuolo st.,Architektų g.,iš centro,SĮSP,Vilniaus miesto,reikalingas remontas,yra,JCDecaux,Standartinis,nėra,yra,nėra,nėra,583322b7-4356-4519-8846-6706c8822b97
578265.3125,6061311.5001,448,1607,Ryto st.,Architektų g.,į centrą,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,yra,yra,nėra,nėra,227cf087-8f51-4941-a055-cfe1b41153d6
578224.5,6061369.0001,449,1608,Ryto st.,Architektų g.,iš centro,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,yra,yra,yra,dingęs,eaead10e-4f61-437d-93cf-75d542345a15
578246.125,6060950.5001,450,1609,Lazdynai,Laisvės pr.,į centrą,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,yra,reikia perkelti,yra,yra - veikia,deaabff5-3eef-47b5-9321-1b1ce1dfdddc
578244.25,6060989.5001,451,1610,Lazdynai,Laisvės pr.,iš centro,SĮSP,Vilniaus miesto,reikalingas remontas,yra,JCDecaux,Standartinis,yra,yra,yra,dingęs,1698d71e-009b-45c6-b8a6-e0829f2d82f5
578180.9833,6060826.572,452,1611,Lazdynai,Erfurto g.,"link ""Paparčio"" pard.",SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,yra,yra,nėra,yra - veikia,aa09f2e0-6595-4368-85a4-dcf8d9b13e9a
577565.0,6060857.5001,453,1612,Akacijų st.,Architektų g.,link centro ,SĮSP,Vilniaus miesto,reikalingas remontas,yra,JCDecaux,Standartinis,yra,yra,nėra,yra - veikia,bad5e31d-081e-4eaa-b71c-a4e00abb38c4
577505.9375,6060827.0001,454,1613,Akacijų st.,Architektų g.,"link ""Paparčio"" pard.",SĮSP,Vilniaus miesto,reikalingas remontas,yra,JCDecaux,Standartinis,nėra,yra,nėra,dingęs,e3a06216-0c7a-4006-9765-d546558fec9c
577841.6542,6060670.1011,455,1614,Žėručio st.,Erfurto g.,link Architektų g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,yra,yra,nėra,nėra,16dcf735-c29a-4bd3-89dd-ad98a71962a9
577660.125,6060526.5001,456,1615,Lazdynų seniūnija,Erfurto g.,link Laisvės pr.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,dingęs,a7dc3088-71d1-41e9-8406-7d483f652b47
577558.3633,6060475.3284,457,1616,Lazdynų seniūnija,Erfurto g.,link Architektų g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,yra,yra,nėra,yra - veikia,28f460e3-88ff-4a51-9877-e6c39e69f36f
577463.75,6060341.5001,458,1617,Erfurto st.,Erfurto g.,į centrą,SĮSP,Vilniaus miesto,reikalingas remontas,yra,JCDecaux,Standartinis,yra,yra,nėra,yra - veikia,e2ca7448-47b1-4be3-88dd-72886fc6dd51
577852.8125,6060264.0001,459,1618,Šalnos st.,Architektų g.,iš centro,SĮSP,Vilniaus miesto,reikalingas remontas,yra,JCDecaux,Standartinis,yra,yra,nėra,dingęs,788855af-3684-487d-9a11-8bb000ba460c
578333.75,6060341.5001,460,1619,Architektų st.,Architektų g.,link Laisvės pr.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,projektuojama,,b292c49f-ce68-4c4f-87ed-8e0d48d24289
578428.875,6060679.0001,461,1620,Riešutų st.,Architektų g.,link Laisvės pr.,SĮSP,Vilniaus miesto,reikalingas remontas,yra,JCDecaux,Standartinis,yra,yra,nėra,yra - veikia,29f7fdf3-d737-48a7-8913-924f0d5c6c22
577248.0558,6059960.6018,462,1622,Oslo st.,Erfurto g.,link Laisvės pr.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,nėra,b8b02641-9715-40cd-9d10-8c72fa79f0b3
582383.1067,6053656.293,463,4007,Sakalaičių st.,Salininkų g.,i miesta,SĮSP,Vilniaus miesto,yra,yra,SĮSP,"Nestandartinis (fanerInis, kombinuotas, kt)",yra,yra,nėra,nėra,a1e7ccd1-7009-41b8-b666-8dbb4b8884d4
577927.0875,6060011.3074,464,1624,Lazdynų ligoninė,Oslo g.,iš centro,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,"Nestandartinis (fanerInis, kombinuotas, kt)",nėra,reikia perkelti,nėra,dingęs,c6c3faf6-939c-4dd2-9693-8433bd58a177
577885.0438,6059948.7626,465,1625,Jonažolių st.,Šiltnamių g.,link Oslo g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,yra,reikia perkelti,nėra,dingęs,de7634b0-a510-4aa4-bbde-026ec1f89849
577994.4448,6059985.8543,466,1626,Lazdynų ligoninė,Oslo g.,į centrą,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,"Nestandartinis (fanerInis, kombinuotas, kt)",nėra,yra,nėra,nėra,1e6ccf37-6d7c-462e-84b0-7cceed37205a
578311.9687,6060079.0001,467,1628,Šiltnamių st.,Oslo g.,iš centro,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,"Nestandartinis (fanerInis, kombinuotas, kt)",nėra,reikia perkelti,nėra,yra - veikia,bd28dc05-449d-44c2-a4e9-fc9449308a88
